(-66, -81)
(20, -92)
(0, -81)
(-79, 82)
(-63, 94)
(-55, 35)
(93, -87)
(-26, 56)
(-64, 46)
(27, 88)
(91, -9)
(-31, 68)
(54, 41)
(-8, -13)
(-37, -15)
(-28, 6)
(-40, -77)
(80, 38)
(34, 86)
(3, 83)
(56, 87)
(65, -91)
(64, 2)
(-21, -67)
(38, -85)
(76, -97)
(5, 49)
(-87, 37)
(-3, 78)
(-70, 79)
(-38, -9)
(-22, 16)
(51, 52)
(61, -80)
(-64, 96)
(-24, 4)
(-1, 3)
(27, -76)
(-39, 14)
(-23, -64)
(62, -65)
(-84, -76)
(35, -40)
(-99, 23)
(53, 48)
(62, 4)
(57, -90)
(58, -16)
(-42, -78)
(-40, 33)
(-6, -7)
(33, 12)
(40, 38)
(-36, -50)
(7, 72)
(-27, 99)
(59, 5)
(99, -74)
(8, -42)
(-89, -55)
(-12, -4)
(-78, 55)
(-1, -36)
(32, 90)
(-57, -9)
(19, -58)
(64, -98)
(-90, 29)
(16, -67)
(75, 74)
(35, 66)
(11, 26)
(-1, 29)
(63, -20)
(-54, -52)
(57, 63)
(-92, 82)
(36, 60)
(54, -61)
(53, 20)
(21, 41)
(-19, 45)
(-58, -47)
(-63, -71)
(17, 34)
(-16, 96)
(37, -74)
(-1, -84)
(-10, 17)
(-61, -31)
(-99, -17)
(62, 86)
(4, -11)
(35, -35)
(-10, 52)
(56, 68)
(-95, 96)
(25, 4)
(87, -77)
(38, -7)
